"topic","module","moduleId","sourceSections","conceptCards","mcqs","recallPrompts","formulas","formulaPrompts","source","pdfPages","coverage"
"Quantitative Methods","Rates and Returns","v1-m1","19","1","10","1","1","1","cfa-program2026L1V1.pdf","11-52","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Time Value of Money in Finance","v1-m2","11","1","10","1","1","1","cfa-program2026L1V1.pdf","53-94","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Statistical Measures of Asset Returns","v1-m3","16","1","5","1","0","0","cfa-program2026L1V1.pdf","95-138","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Probability Trees and Conditional Expectations","v1-m4","6","1","10","1","1","1","cfa-program2026L1V1.pdf","139-158","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Portfolio Mathematics","v1-m5","6","1","10","1","1","1","cfa-program2026L1V1.pdf","159-182","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Simulation Methods","v1-m6","6","1","5","1","0","0","cfa-program2026L1V1.pdf","183-200","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Estimation and Inference","v1-m7","11","1","10","1","1","1","cfa-program2026L1V1.pdf","201-222","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Hypothesis Testing","v1-m8","9","1","5","1","0","0","cfa-program2026L1V1.pdf","223-250","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Parametric and Non-Parametric Tests of Independence","v1-m9","5","1","5","1","0","0","cfa-program2026L1V1.pdf","251-270","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Simple Linear Regression","v1-m10","21","1","10","1","1","1","cfa-program2026L1V1.pdf","271-334","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Introduction to Big Data Techniques","v1-m11","8","1","5","1","0","0","cfa-program2026L1V1.pdf","335-348","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Quantitative Methods","Appendices A-E","v1-m12","1","0","0","0","0","0","cfa-program2026L1V1.pdf","349-358","Reference supplement"
"Economics","The Firm and Market Structures","v2-m1","22","1","5","1","0","0","cfa-program2026L1V2.pdf","11-56","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Economics","Understanding Business Cycles","v2-m2","22","1","5","1","0","0","cfa-program2026L1V2.pdf","57-86","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Economics","Fiscal Policy","v2-m3","12","1","5","1","0","0","cfa-program2026L1V2.pdf","87-112","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Economics","Monetary Policy","v2-m4","22","1","5","1","0","0","cfa-program2026L1V2.pdf","113-148","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Economics","Introduction to Geopolitics","v2-m5","31","1","5","1","0","0","cfa-program2026L1V2.pdf","149-202","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Economics","International Trade","v2-m6","10","1","5","1","0","0","cfa-program2026L1V2.pdf","203-222","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Economics","Capital Flows and the FX Market","v2-m7","12","1","5","1","0","0","cfa-program2026L1V2.pdf","223-260","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Economics","Exchange Rate Calculations","v2-m8","5","1","10","1","1","1","cfa-program2026L1V2.pdf","261-280","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
